什么是商品？,商品是用来交换的劳动产品，是使用价值和价值的统一体。
商品的两个基本要素是什么？,使用价值和价值。
什么是商品的使用价值？,指物品和服务能够满足人们某种需要的属性，即其有用性。
什么是商品的交换价值？,表现为一种使用价值与另一种使用价值相交换的数量关系或比例。
什么是商品的价值？,凝结在商品中的无差别的一般人类劳动。
生产商品的劳动二重性指的是哪两种劳动？,具体劳动和抽象劳动。
创造商品使用价值的是哪种劳动？,具体劳动。
形成商品价值的是哪种劳动？,抽象劳动。
什么是社会必要劳动时间？,在现有的社会正常的生产条件下，在社会平均的劳动熟练程度和劳动强度下，制造某种使用价值所需要的劳动时间。
决定商品价值量的是什么？,社会必要劳动时间。
列举三个影响劳动生产率高低的因素。,科技水平、劳动者熟练程度、生产过程的社会结合形式、劳动对象的状况、自然条件等。（任举三例）
劳动生产率与单位商品价值量之间是什么关系？,成反比关系。
货币的本质是什么？,固定地充当一般等价物的特殊商品。
货币的基本职能有哪些？,价值尺度、流通手段、贮藏手段、支付手段、世界货币。
货币之所以能执行价值尺度职能，根本原因是什么？,因为货币本身也是商品，也有价值。
货币流通规律的基本要求是什么？,流通中的货币量必须满足商品流通的需要。
纸币流通规律的基础是什么？,金属货币流通量规律。
什么是通货膨胀？,由于货币发行量超过流通中实际需要的货币量而引起的物价总水平持续上涨的经济现象。
什么是通货紧缩？,指一般物价水平持续下降的经济现象。
与商品经济相对应的经济范畴是什么？,自然经济。
商品经济产生的两个基本条件是什么？,社会分工的发展；生产资料属于彼此独立的、不同的所有者。
商品经济发展的两个阶段是什么？,简单商品经济（小商品经济）阶段和市场经济阶段。
什么是市场经济？,发达的商品经济，市场机制在资源配置中发挥基础性和决定性作用。
市场经济的基本特征之一是：_____在资源配置中起决定性作用。,市场
市场机制主要包括哪些内容？,价格机制、供求机制、竞争机制和风险机制等。
价值规律的主要内容是什么？,商品的价值量由生产商品的社会必要劳动时间决定，商品交换按照等价原则进行。
价值规律在宏观层面的基本作用是什么？,分配社会劳动，调节资源配置。
资本总公式的矛盾是什么？,价值规律要求等价交换，价值量不变，但资本在流通过程中却发生了增殖。
劳动力成为商品的两个基本条件是什么？,劳动者有人身自由；劳动者丧失了一切生产资料和生活资料。
劳动力的价值是如何决定的？,由生产和再生产劳动力这种特殊商品所必需的劳动时间决定的。
什么是剩余价值？（名词解释）,雇佣工人所创造的并被资本家无偿占有的超过劳动力价值的那部分价值。
在预付总资本中，转变为生产资料且在生产过程中不改变自身价值量的那部分资本叫什么？,不变资本（c）。
在预付总资本中，转变为劳动力且在生产过程中发生价值增殖的那部分资本叫什么？,可变资本（v）。
写出剩余价值率的物化劳动表示法公式。,m’ ＝ 剩余价值／可变资本，即 $m’ = m / v$。
写出剩余价值率的活劳动表示法公式。,m’ ＝ 剩余劳动时间／必要劳动时间。
什么是超额剩余价值？（名词解释）,企业由于提高劳动生产率而使商品个别价值低于社会价值的差额。
什么是资本积累？,把剩余价值再转化为资本，即剩余价值的资本化。
资本积累的源泉是什么？,剩余价值。
资本积累的一般规律是什么？,一极是财富的积累，另一极是贫困的积累。
产业资本正常循环必须保持产业资本的三种形态在空间上_____。,并存
产业资本正常循环必须保持产业资本的三种形态在时间上_____。,相互转化
根据生产资本不同部分的价值周转方式，可将其分为哪两部分？,固定资本和流动资本。
什么是社会总资本运动？,相互交织、相互联系、相互依存的单个资本运动的总和。
影响利润率变动的主要因素有哪些？（至少列举三个）,剩余价值率、资本有机构成、资本周转速度、不变资本的节约。
阻止平均利润率下降的因素有哪些？（至少列举三个）,劳动者剥削程度的提高、工资被压低到劳动力价值以下、不变资本各要素变得便宜、相对过剩人口的存在、对外贸易的发展。
什么是商业利润？,商业资本家从事商业经营活动所获得的利润，表现为商品销售价格和购买价格之间的差额。
什么是利息？,职能资本家使用借贷资本而让渡给借贷资本家的一部分剩余价值。
什么是级差地租？,与土地的不同等级相联系的地租，由农产品的个别生产价格低于社会生产价格的超额利润所构成。
什么是绝对地租？,土地所有者凭借土地私有权垄断所获取的地租，是租种任何土地都必须缴纳的地租。
资本主义经济危机的实质是什么？,生产相对过剩的危机。
资本主义经济危机表现出周期性，其中持续7-11年的主周期又称为什么？,朱格拉周期。
资本主义基本矛盾的具体表现之一是什么？,资本主义生产无限扩大的趋势和劳动人民有支付能力的需求相对缩小之间的矛盾。
资本主义基本矛盾的另一个具体表现是什么？,个别企业内部生产的有组织性与整个社会生产的无政府状态之间的矛盾。
为什么要坚持公有制为主体？（列举两点）,它是社会经济制度的基础；是解放和发展生产力的根本要求；是实现共同富裕的基本前提；是和谐社会的经济基础；是社会主义政治制度的基础。（任举两点）
社会主义市场经济的制度优势是什么？（列举两点）,有利于实现共同利益；有利于实施国家战略规划；有利于集中力量办大事；有利于效率和公平的统一；有利于促进新型国际关系。（任举两点）
按劳分配的基本要求是什么？,在对社会总产品做必要扣除后，以劳动者提供的劳动为唯一尺度来分配个人消费品，实行等量劳动领取等量报酬。
按劳分配中作为分配尺度的“劳”指的是什么？,社会平均活劳动，而不是个别劳动。
社会财富的物质内容由什么构成？,使用价值。
价值是商品的_____属性。,本质的、社会
货币流通是以_____为基础，并且服务于它的。,商品流通
"根据课堂训练一的条件（C:V=9:1, m’=100%, 投资100万），制造业部门的剩余价值是多少？","C=90, V=10, m=V*m'=10*100%=10万元。"
"根据课堂训练一的条件（C:V=8:2, m’=100%, 投资100万），纺织业部门的剩余价值是多少？","C=80, V=20, m=V*m'=20*100%=20万元。"
"根据课堂训练一的条件（C:V=7:3, m’=100%, 投资100万），食品业部门的剩余价值是多少？","C=70, V=30, m=V*m'=30*100%=30万元。"
根据课堂训练一的条件，社会总剩余价值是多少？,10万（制造业） + 20万（纺织业） + 30万（食品业） = 60万元。
根据课堂训练一的条件，社会总预付资本是多少？,100万 + 100万 + 100万 = 300万元。
根据课堂训练一的条件，部门间竞争后的平均利润率是多少？,平均利润率 = 社会总剩余价值 / 社会总预付资本 = 60万 / 300万 = 20%。
根据课堂训练一的条件，在平均利润率为20%的情况下，每个部门获得的平均利润是多少？,平均利润 = 各部门投资额 * 平均利润率 = 100万 * 20% = 20万元。
