概念/主题名称,定义或核心含义,所属章节/领域,关键特征或组成要素,计算公式或逻辑关系(如有),经济意义或作用,来源
商品,用来交换的劳动产品，是使用价值和价值的统一体。,第一章,使用价值、价值,使用价值与价值的统一,构成社会财富的物质内容,1
价值,凝结在商品中无差别的一般人类劳动。,第一章,本质属性、社会属性,由社会必要劳动时间决定,商品的本质属性，用于交换的依据,1
社会必要劳动时间,在现有社会正常生产条件下，在社会平均劳动熟练程度和劳动强度下，制造某种使用价值所需要的劳动时间。,第一章,现有社会正常生产条件、社会平均劳动熟练程度、劳动强度,决定商品价值量,衡量商品价值量的标准,1
货币,从商品世界中游离出来固定地充当一般等价物的特殊商品。,第二章,一般等价物、固定性,商品交换发展的产物,体现商品生产者之间的社会生产关系,1
货币流通规律,货币流通同商品流通相适应的规律。,第二章,流通手段、支付手段,流通中货币量应符合商品流通需要,维持商品流通正常运行,1
通货膨胀,由于货币发行量超过流通中实际需要的货币量而引起的物价总水平持续上涨的经济现象。,第二章,货币发行量超标、物价持续上涨,$货币发行量 > 实际需要量$,反映货币流通失衡,1
商品经济,以交换为目的的经济形式，是商品生产和商品交换的统称。,第三章,社会分工、生产资料属于不同所有者,产生于社会分工和私有制,突破自然经济界限，调动社会资源,1
价值规律,商品经济的基本规律，通过价值决定和价格背离调节生产、交换和资源配置。,第三章,等价交换、社会必要劳动时间决定价值量,价格围绕价值上下波动,激励创新、优胜劣汰、调节资源配置,1
剩余价值,雇佣工人创造的并被资本家无偿占有的超过劳动力价值的那部分价值。,第五章,雇佣工人创造、剩余劳动时间、资本家无偿占有,$m = 新创造价值 - 劳动力价值$,体现资本主义剥削关系,1
不变资本和可变资本,按在剩余价值生产中的作用不同划分的资本部分。,第五章,生产资料( $c$ )、劳动力( $v$ ),$总资本 = c + v$,揭示了剩余价值的源泉是可变资本,1
剩余价值率,剩余价值与可变资本的比率。,第五章,物化劳动表示法、活劳动表示法,$m' = m / v = 剩余劳动时间 / 必要劳动时间$,表明资本家对工人的剥削程度,1
资本积累,把剩余价值再转化为资本，即剩余价值的资本化。,第五章,剩余价值转化为资本,剩余价值是资本积累的源泉,导致两极分化、失业及资本有机构成提高,1
预付资本总周转,预付资本中固定资本和流动资本在一年中的平均周转速度。,第六章,固定资本周转、流动资本周转,$n = (固定资本年周转总额 + 流动资本年周转总额) / 预付总资本$,衡量资本运动的效率,1
级差地租,与土地不同等级相联系的地租。,第七章,土地等级、农产品个别生产价格与社会生产价格差额,来源于超额利润,体现土地资源优劣带来的经济收益,1
资本主义经济危机,在资本主义再生产过程中由制度因素引发的周期性生产过剩危机。,第八章,生产相对过剩、周期性,根源于资本主义基本矛盾,暴露资本主义生产方式的内在矛盾,1
